Model_Region_ID_PK,Region_Name,Region_Code,State_ID_FK,City_or_Village_Name,District_Name,State_Name,Model_Zone_Name
2,Port Blair,AN-01,1,PORT BLAIR,ANDAMANS,ANDAMAN AND NICOBAR ISLANDS,B
1,Car Nicobar,AN-02,1,CAR NICOBAR,NICOBARS,ANDAMAN AND NICOBAR ISLANDS,B
7,Anantapur,AP-02,2,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,B
21,Hindupur,AP-02,2,HINDUPUR,ANANTAPUR,ANDHRA PRADESH,B
12,Chittoor,AP-03,2,MADANAPALLE,CHITTOOR,ANDHRA PRADESH,B
38,Madanapalle,AP-03,2,MADANAPALLE,CHITTOOR,ANDHRA PRADESH,B
72,Tirupathi,AP-03,2,TIRUPATI,CHITTOOR,ANDHRA PRADESH,B
26,Kadapa,AP-04,2,CUDDAPAH,CUDDAPAH,ANDHRA PRADESH,B
1586,Produtur,AP-04,2,PRODDATUR,CUDDAPAH,ANDHRA PRADESH,B
27,Kakinada,AP-05,2,KAKINADA,GODAVARI - EAST,ANDHRA PRADESH,B
1290,Amalapuram,AP-05,2,AMALAPURAM,GODAVARI - EAST,ANDHRA PRADESH,B
1455,Rajahmundry,AP-05,2,RAJAHMUNDRY,GODAVARI - EAST,ANDHRA PRADESH,B
5,Kakinada,AP-06,2,KAKINADA,GODAVARI - EAST,ANDHRA PRADESH,B
59,Rajahmundry,AP-06,2,RAJAHMUNDRY,GODAVARI - EAST,ANDHRA PRADESH,B
19,Guntur,AP-07,2,GUNTUR,GUNTUR,ANDHRA PRADESH,B
48,Narasaraopet,AP-07,2,NARASARAOPET,GUNTUR,ANDHRA PRADESH,B
56,Piduguralla,AP-07,2,GUNTUR,GUNTUR,ANDHRA PRADESH,B
71,Repalle,AP-07,2,GUNTUR,GUNTUR,ANDHRA PRADESH,B
20,Guntur,AP-08,2,GUNTUR,GUNTUR,ANDHRA PRADESH,B
1223,Nellore,AP-09,2,NELLORE,NELLORE,ANDHRA PRADESH,B
17,Gudivada,AP-16,2,GUDIVADA,KRISHNA,ANDHRA PRADESH,B
35,Krishna,AP-16,2,KRISHNA,KRISHNA,ANDHRA PRADESH,B
